payment_method,payment_label,amount_twd,points,payment_url
card,信用卡,100,4800,https://tinyurl.funpoint.com.tw/88A20A
card,信用卡,200,9600,https://tinyurl.funpoint.com.tw/3FEA38
card,信用卡,500,24000,https://tinyurl.funpoint.com.tw/9264B2
card,信用卡,1000,48000,https://tinyurl.funpoint.com.tw/4A8B80
card,信用卡,2000,96000,https://tinyurl.funpoint.com.tw/2426BA
card,信用卡,3000,144000,https://tinyurl.funpoint.com.tw/CD9FC2
card,信用卡,5000,240000,https://tinyurl.funpoint.com.tw/F216C6
card,信用卡,10000,480000,https://tinyurl.funpoint.com.tw/247647
card,信用卡,20000,960000,https://tinyurl.funpoint.com.tw/C9EF4F
card,信用卡,30000,1440000,https://tinyurl.funpoint.com.tw/A34B90
card,信用卡,50000,2400000,https://tinyurl.funpoint.com.tw/F90149
store,超商,1000,48000,https://tinyurl.funpoint.com.tw/31FDED
store,超商,2000,96000,https://tinyurl.funpoint.com.tw/942D30
store,超商,3000,144000,https://tinyurl.funpoint.com.tw/459C05
store,超商,4000,192000,https://tinyurl.funpoint.com.tw/121EB7
store,超商,5000,240000,https://tinyurl.funpoint.com.tw/7C4839
store,超商,8000,384000,https://tinyurl.funpoint.com.tw/EE0C67
store,超商,10000,480000,https://tinyurl.funpoint.com.tw/628208
store,超商,15000,720000,https://tinyurl.funpoint.com.tw/8FB885
store,超商,19999,959952,https://tinyurl.funpoint.com.tw/573B7C
